3 50 0 0 
0.000000 1.000000 0.000000 0.000000 
0.020408 0.941241 0.001224 0.001232 
0.040816 0.887275 0.004794 0.004862 
0.061224 0.837899 0.010557 0.010786 
0.081633 0.792909 0.018360 0.018904 
0.102041 0.752102 0.028050 0.029112 
0.122449 0.715272 0.039473 0.041309 
0.142857 0.682216 0.052478 0.055394 
0.163265 0.652730 0.066911 0.071263 
0.183673 0.626610 0.082619 0.088815 
0.204082 0.603652 0.099448 0.107948 
0.224490 0.583651 0.117247 0.128560 
0.244898 0.566405 0.135862 0.150550 
0.265306 0.551709 0.155139 0.173814 
0.285714 0.539359 0.174927 0.198251 
0.306122 0.529150 0.195072 0.223759 
0.326531 0.520880 0.215420 0.250236 
0.346939 0.514344 0.235820 0.277580 
0.367347 0.509337 0.256118 0.305689 
0.387755 0.505657 0.276160 0.334461 
0.408163 0.503098 0.295795 0.363794 
0.428571 0.501458 0.314869 0.393586 
0.448980 0.500531 0.333228 0.423735 
0.469388 0.500115 0.350721 0.454139 
0.489796 0.500004 0.367194 0.484696 
0.510204 0.499996 0.382494 0.515304 
0.530612 0.499885 0.396467 0.545861 
0.551020 0.499469 0.408962 0.576265 
0.571429 0.498542 0.419825 0.606414 
0.591837 0.496902 0.428903 0.636206 
0.612245 0.494343 0.436043 0.665539 
0.632653 0.490663 0.441092 0.694311 
0.653061 0.485656 0.443897 0.722420 
0.673469 0.479120 0.444305 0.749764 
0.693878 0.470850 0.442163 0.776241 
0.714286 0.460641 0.437318 0.801749 
0.734694 0.448291 0.429617 0.826186 
0.755102 0.433595 0.418907 0.849450 
0.775510 0.416349 0.405035 0.871440 
0.795918 0.396348 0.387849 0.892052 
0.816327 0.373390 0.367194 0.911185 
0.836735 0.347270 0.342918 0.928737 
0.857143 0.317784 0.314869 0.944606 
0.877551 0.284728 0.282892 0.958691 
0.897959 0.247898 0.246836 0.970888 
0.918367 0.207091 0.206547 0.981096 
0.938776 0.162101 0.161871 0.989214 
0.959184 0.112725 0.112657 0.995138 
0.979592 0.058760 0.058751 0.998767 
1.000000 0.000000 0.000000 1.000000 
